month,scenario,species,sst_anomaly_c,temperature_c,atmosphere_ppt,atmosphere_target_ppt,mixed_layer_pmol_kg,deep_ocean_pmol_kg,henry_mol_m3_pa,air_to_sea_flux_mol_yr,mixed_to_deep_flux_mol_yr,external_atmospheric_flux_mol_yr,cumulative_air_to_sea_mol,cumulative_outgassing_mol,cumulative_external_mol,total_inventory_mol,mass_balance_residual_mol
2021-05,observed_sst,CFC-12,0.6385,15.638500000000022,494.19244581640083,493.604,1.3059633840267002,0.18915065620143348,3.0275410728036333e-05,1921241.4475777743,2066243.1480677219,-1066263819.3184204,10391633.361867795,0.0,-2971341153.5623846,74902686494.53268,-2.384185791015625e-05
2021-06,observed_sst,CFC-12,0.6768,15.676800000000014,493.68075605168946,493.226,1.3052305733984733,0.1892780986032001,3.022550762566625e-05,1885341.94290234,2064651.5724306048,-824017965.661377,10550198.041937271,0.0,-3048447743.35372,74825579904.74132,-5.4836273193359375e-05
2021-07,observed_sst,CFC-12,0.7188,15.718799999999987,493.28191281870727,492.925,1.3043508260102026,0.18940543428799014,3.017089332304187e-05,1852316.1109813568,2062788.3428600586,-646726027.4976196,10705900.077260185,0.0,-3108517369.49872,74765510278.59634,-2.86102294921875e-05
2021-08,observed_sst,CFC-12,0.6887,15.688699999999983,492.88900165755234,492.472,1.3034491853112464,0.18953265157485907,3.0210021930702365e-05,1870480.041027495,2060884.8269790336,-755607003.4848633,10861037.151772527,0.0,-3167691817.7585897,74706335830.33646,-4.673004150390625e-05
2021-09,observed_sst,CFC-12,0.6884,15.688400000000001,492.46877380878277,492.048,1.3025863561976347,0.18965975459059142,3.0210412213195632e-05,1866338.0474512442,2059053.3287982307,-762442141.5142822,11016737.955531118,0.0,-3230990522.1190352,74643037125.976,-5.9604644775390625e-05
2021-10,observed_sst,CFC-12,0.6608,15.660799999999995,492.1149522119109,491.811,1.3017592425589328,0.18978674574656001,3.024634325369517e-05,1883193.5122825368,2057288.1156649913,-550761407.982605,11172948.463401562,0.0,-3284261372.738828,74589766275.35622,-4.8160552978515625e-05
2021-11,observed_sst,CFC-12,0.6588,15.658799999999985,491.91222773725707,491.784,1.3009841915381706,0.18991363154829277,3.0248948879273687e-05,1886475.0849817423,2055619.4198012727,-232348659.90985107,11329979.90427307,0.0,-3314715736.9706836,74559311911.12436,-5.0067901611328125e-05
2021-12,observed_sst,CFC-12,0.608,15.608000000000004,491.78231292361124,491.653,1.3003140999543183,0.19004041887252685,3.0315219209497153e-05,1925364.5145639987,2054145.0942114494,-234315017.58361816,11488820.22307868,0.0,-3334174033.5124316,74539853614.58264,-1.9550323486328125e-05
2022-01,observed_sst,CFC-12,0.6704,15.670399999999972,491.6255967549491,491.451,1.2996431422255315,0.190167118637004,3.0233839876973155e-05,1883696.3185240615,2052669.3281417245,-316369319.96777344,11647526.259678796,0.0,-3357679468.9438086,74516348179.15128,-8.58306884765625e-06
2022-02,observed_sst,CFC-12,0.6478,15.647800000000018,491.43915451953677,491.246,1.2989259754785067,0.19029372216694782,3.0263284478238327e-05,1901350.698449894,2051108.2476580478,-349995989.4006958,11805247.398161665,0.0,-3385674525.3525705,74488353122.7425,-2.956390380859375e-05
2022-03,observed_sst,CFC-12,0.6629,15.66289999999998,491.2236905135411,490.994,1.2982324443439501,0.19042023192043822,3.02436076272323e-05,1891287.2898908458,2049591.06951005,-416199210.536499,11963279.171362232,0.0,-3418051558.484722,74455976089.61035,-1.9073486328125e-05
2022-04,observed_sst,CFC-12,0.6389,15.638899999999978,490.8975746325034,490.504,1.2975555931561824,0.19054664801244608,3.027488905284477e-05,1904828.6484826724,2048104.9246340552,-713157234.0961304,12121493.046049552,0.0,-3467136842.6467166,74406890805.44833,-4.2438507080078125e-05
2022-05,observed_sst,CFC-12,0.6523,15.652300000000025,490.4682339565276,490.015,1.2968776530796944,0.1906729736196036,3.0257418962042524e-05,1888688.0066028475,2046616.9325861002,-821259929.2280273,12279564.566887258,0.0,-3531809213.1982646,74342218434.89684,7.152557373046875e-06
2022-06,observed_sst,CFC-12,0.7175,15.717499999999973,490.0515933386868,489.663,1.2960549911642252,0.19079920061055236,3.0172582046894872e-05,1838364.7351945075,2044861.3694981136,-704131129.7005005,12434825.362612987,0.0,-3594566685.6964936,74279460962.39859,-9.059906005859375e-06
2022-07,observed_sst,CFC-12,0.707,15.706999999999994,489.6651511849589,489.282,1.295139879645246,0.19092531164714419,3.0186225762312987e-05,1843059.3390849978,2042934.9776174882,-694269947.1454468,12588219.118171748,0.0,-3652766057.1538763,74221261590.94124,2.193450927734375e-05
2022-08,observed_sst,CFC-12,0.7333,15.733299999999986,489.29392499859233,488.933,1.2941979089046745,0.191051303359794,3.0152064991683366e-05,1822877.2847731498,2040959.1135837217,-653996097.4493408,12740954.786685081,0.0,-3708668475.6267157,74165359172.4684,2.193450927734375e-05
2022-09,observed_sst,CFC-12,0.7081,15.708100000000002,488.962131745697,488.653,1.2932581710643354,0.1911771716993841,3.0184796084913198e-05,1839893.1928032066,2038987.6089500806,-560146723.2028198,12893565.140068894,0.0,-3758616646.4605036,74115411001.63458,-6.67572021484375e-06
2022-10,observed_sst,CFC-12,0.6801,15.680099999999982,488.67042919161355,488.393,1.2924089913374524,0.19130292348028313,3.0221212350150445e-05,1859185.5242343,2037183.863794245,-502701695.2038574,13047693.50860102,0.0,-3802509603.7586465,74071518044.33652,7.104873657226562e-05
