time_s,day,CHBr3_gas_molecule_cm3,Br_molecule_cm3,BrO_molecule_cm3,HO2_molecule_cm3,OH_molecule_cm3,HOBr_molecule_cm3,CHBr3_aqueous_mol_m3,CFC11_air_mol,CFC11_mixed_mol,CFC11_deep_mol,CFC11_cumulative_air_to_sea_mol,CFC11_cumulative_external_mol,CFC12_air_mol,CFC12_mixed_mol,CFC12_deep_mol,CFC12_cumulative_air_to_sea_mol,CFC12_cumulative_external_mol
950400.0,11.0,88889737.34134127,35098.36254540769,45161703.116833195,19409525.89372468,257237.3154963064,5789851.134485917,1.7808883036617764e-08,34721071717.20614,48409481.88090707,531225842.8180041,31036.003597075,-8897246.790285336,76996631823.1827,28973415.12996463,317937232.89858264,19046.275285004962,-13349130.542020392
1036800.0,12.0,84847469.08505078,32861.55500415155,42187861.45699922,19447335.58638058,256773.65099223156,5418919.88329103,1.7458659960533067e-08,34719484112.325745,48403215.86433613,531237103.37511504,36030.5441370797,-10479857.130153632,76994253936.97734,28969792.03399629,317943972.45752275,22162.738256856755,-15723900.284396108
1123200.0,13.0,81655363.18929784,31213.737368007616,40006303.30030386,19475165.639927074,256432.39851696425,5145918.127518992,1.7101554251373832e-08,34717784911.084236,48397184.55630686,531248362.2071252,41258.068117955256,-12173830.847676974,76991708730.57326,28966328.093827553,317950711.02133363,25437.361898903175,-18265832.06484861
1209600.0,14.0,79018100.38751024,29942.584010326147,38329158.32450042,19496614.899929527,256169.41289284383,4935529.772309329,1.6743261019026964e-08,34715977742.7202,48391365.1214201,531259619.3751361,46695.801242114256,-13975561.478578217,76989001624.59581,28963010.28436101,317957448.63178927,28857.16288804917,-20969518.241290253
1296000.0,15.0,76747734.99355488,28914.430815428066,36976487.66050027,19513948.677083623,255956.90671582043,4765524.924185875,1.6387322781411025e-08,34714066117.56293,48385736.36328994,531270874.9342237,52322.602199582754,-15881559.83489764,76986137863.5986,28959826.466463596,317964185.3272204,32410.040421763242,-23829726.36094431
1382400.0,16.0,74724529.787209,28045.049840511318,35835452.888019234,19528594.29430957,255777.37181269075,4621897.063265872,1.6035916467229622e-08,34712053430.98073,48380278.61830018,531282128.9338726,58118.85685869854,-17888450.162432935,76983122521.81068,28956765.33088609,317970921.14274853,36084.72037245094,-26841393.468912374
1468800.0,17.0,72872079.53011456,27281.24049047995,34835022.6694966,19541453.196530525,255619.75072220594,4495800.232279434,1.5690353313642473e-08,34709942967.22023,48374973.655646496,531293381.4183828,64066.37871523368,-19992966.401082836,76979960508.73161,28953816.345452584,317977656.1105072,39870.702697549896,-29999620.565645766
1555200.0,18.0,71141526.09912318,26589.309101959505,33930316.23293337,19553096.24450099,255477.0410973807,4381632.56101519,1.5351396053962964e-08,34707737903.031624,48369804.58460778,531304632.4272469,70148.31654062838,-22191948.651862808,76976656574.41849,28950969.706043612,317984390.25984573,43758.21262708677,-33299667.368840497
1641600.0,19.0,69501507.20001249,25947.836432036704,33092847.746040493,19563886.303217612,255344.79196279892,4275833.273790637,1.5019460856895522e-08,34705441311.297165,48364755.766046256,531315881.9955076,76349.06623977731,-24482339.636630952,76973215314.78575,28948216.289751578,317991123.6175244,47738.154013759595,-36736947.060186066
1728000.0,20.0,67931791.05870052,25343.153689499584,32304455.52274545,19574054.912274133,255220.16323395894,4176130.30594135,1.4694745179930837e-08,34703056164.40286,48359812.73100835,531327130.15408623,82654.18978054283,-26861181.407386523,76969641176.53218,28945547.611779906,317997856.20789325,51802.06641097731,-40307021.40136779
1814400.0,21.0,66419219.29616931,24766.48781724899,31553485.909320112,19583750.661756456,255101.3323152934,4081065.5828717425,1.4377309216212678e-08,34700585337.63369,48354962.10282887,531338376.9300956,89050.33761043556,-29325612.028733224,76965938462.10982,28942955.784134757,318004588.05306274,55942.083935296076,-44005595.80620913
1900800.0,22.0,64955138.20981229,24212.168218055238,30832402.68777934,19593069.578646682,254987.1213675472,3989696.8343550633,1.4067127427978726e-08,34698031612.31094,48350191.52568169,531349622.34712607,95525.17749368868,-31872862.511594485,76962111334.31718,28940433.47772477,318011319.1730601,60150.89752267712,-47828514.78526164
1987200.0,23.0,63533760.39959723,23676.48970532795,30136274.927752268,19602074.3925793,254876.7609861981,3901408.5375208207,1.3764121368514337e-08,34695397679.00175,48345489.59574096,531360866.42551935,102067.32594622357,-34500253.67234172,76958163821.00598,28937973.88577734,318018049.58597976,64421.718494955756,-51771757.2754733
2073600.0,24.0,62151129.7865087,23156.997607350517,29461827.725757323,19610806.64825587,254769.7416265655,3815793.0570991775,1.3468180393482457e-08,34692686140.273056,48340845.80010345,531372109.18261254,108666.28740194818,-37205193.43957489,76954099819.11665,28935570.691410407,318024779.30811703,68748.24626524563,-55831432.6370334
2160000.0,25.0,60804456.067062706,22652.029625003524,28806835.01280539,19619294.467421643,254665.71839273104,3732574.476657876,1.3179174916775052e-08,34689899513.913666,48336250.454035334,531383350.63298446,115312.39170571853,-39985173.69466545,76949923099.4157,28933218.034174412,318031508.3541037,73124.63501590895,-60003775.949236885
2246400.0,26.0,59491698.67601764,22160.430280427114,28169741.50490503,19627557.386621583,254564.45169611173,3651561.1255234648,1.2896964677554222e-08,34687040235.57374,48331694.6468696,531394590.78866893,121996.74022447041,-42837767.686073326,76945637310.37218,28930910.48125329,318038236.73702615,77545.46501727679,-64285144.16276048
2332800.0,27.0,58211299.65668529,21681.36799869945,27549420.813801106,19635609.45609389,254465.7692434978,3572615.1692516916,1.2621404010744184e-08,34684110661.40828,48327170.190273404,531405829.6593583,128711.15431767853,-45760627.43743633,76941245982.04448,28928642.999883384,318044964.46853757,82005.71515876225,-68672012.24031368
