time_s,day,delta_t_s,delta_t_days,gradient_richardson_number,kw_stratification_multiplier,cfc11_inversion_discrepancy_Gg,cfc12_inversion_discrepancy_Gg,oh_dynamic_molecule_cm3,oh_no_ph_biology_molecule_cm3,methane_lifetime_distortion_percent
3456000.0,40.0,86400.0,1.0,1.0,0.7845840978967508,0.0029774043542277425,0.0017711381749700695,253379.86181785996,253128.6238808789,-0.09915465861357609
3542400.0,41.0,86400.0,1.0,1.0,0.7845840978967508,0.0029965383816689915,0.0017891941426129215,253309.54923721432,253054.2513025751,-0.10078496267037496
3628800.0,42.0,86400.0,1.0,1.0,0.7845840978967508,0.003013112291569653,0.0018058665147681141,253240.9011559051,252981.6480631583,-0.1023740997459166
3715200.0,43.0,86400.0,1.0,1.0,0.7845840978967508,0.0030272588620238747,0.001821217114922741,253173.87804953536,252910.77194237223,-0.10392308605852163
3801600.0,44.0,86400.0,1.0,1.0,0.7845840978967508,0.003039108378063187,0.0018353070154765048,253108.44136018862,252841.58175565943,-0.10543291369308205
3888000.0,45.0,86400.0,1.0,1.0,0.7845840978967508,0.0030487882514904246,0.0018481963203594704,253044.55346340517,252774.03731936662,-0.10690455112983832
3974400.0,46.0,86400.0,1.0,1.0,0.7845840978967508,0.0030564227066742734,0.0018599439814559384,252982.17763957652,252708.09942041003,-0.10833894376424125
4060800.0,47.0,86400.0,1.0,1.0,0.7845840978967508,0.003062132525027441,0.0018706076452287953,252921.2780483307,252643.72978897174,-0.10973701441835404
4147200.0,48.0,86400.0,1.0,1.0,0.7845840978967508,0.003066034841577301,0.0018802435262733168,252861.81970499564,252580.89107331695,-0.11109966384266201
4233600.0,49.0,86400.0,1.0,1.0,0.7845840978967508,0.00306824298766435,0.0018889063048338301,252803.76845855828,252519.54681614746,-0.11242777120920033
4320000.0,50.0,86400.0,1.0,1.0,0.7845840978967508,0.003068866374377648,0.001896649045597143,252747.0909707438,252459.66143211708,-0.11372219459491184
4406400.0,51.0,86400.0,1.0,1.0,0.7845840978967508,0.0030680104118542342,0.0019035231353302774,252691.75469597345,252401.20018626508,-0.11498377145623406
4492800.0,52.0,86400.0,1.0,1.0,0.7845840978967508,0.003065776460049806,0.0019095782371630475,252637.72786204287,252344.1291732098,-0.11621331909436039
4579200.0,53.0,86400.0,1.0,1.0,0.7845840978967508,0.003062261807016616,0.0019148622595278617,252584.9794514164,252288.41529699662,-0.11741163511143071
4665600.0,54.0,86400.0,1.0,1.0,0.7845840978967508,0.0030575596711221375,0.0019194213379629004,252533.47918306763,252234.02625152978,-0.11857949785769595
4752000.0,55.0,86400.0,1.0,1.0,0.7845840978967508,0.003051759224000698,0.0019232998281617265,252483.19749481766,252180.93050153813,-0.11971766686998953
4838400.0,56.0,86400.0,1.0,1.0,0.7845840978967508,0.0030449456313554786,0.001926540308810682,252434.1055261369,252129.09726404047,-0.12082688330117275
4924800.0,57.0,86400.0,1.0,1.0,0.7845840978967508,0.0030372001090276297,0.0019291835929046977,252386.1751013847,252078.49649028282,-0.1219078703412646
5011200.0,58.0,86400.0,1.0,1.0,0.7845840978967508,0.003028599992017472,0.001931268746363603,252339.378713467,252029.09884812843,-0.12296133362954542
5097600.0,59.0,86400.0,1.0,1.0,0.7845840978967508,0.003019218814388821,0.001932833112891363,252293.68950789716,251980.8757048827,-0.1239879616587336
5184000.0,60.0,86400.0,1.0,1.0,0.7845840978967508,0.0030091263989248146,0.0019339123451163592,252249.08126739349,251933.7991099336,-0.1249884264694967
